trigger,Ko,Rej,Performability
5,0.00001040620710550569022210098702505928125578,0.00783920047368283062587695891171225232573000,0.00783420259952756312358662802684496588149289
10,0.0000203373301331409168586070146957697339412,0.0044971407120114942850316748864425842321900,0.0045123761401793210535336269702440797588156
15,0.0000297944638290316165972243072731021521782,0.0033624689304369338297301635150875982743800,0.0033893865315319474838394332929386070667791
20,0.0000388107266303054589383873475031367376096,0.0027819755256481391501911772936678361267200,0.0028187970435081841140899746313285936221648
25,0.0000474162403327315047387058359507668408872,0.0024240684635073158268775436111485394489100,0.0024699576446797185541148959730319745223986
30,0.0000556384467622928697813577141095292865746,0.0021780429010470818928513874213009544350500,0.0022324340147184867514902307818565227198123
35,0.000063502397317901153659056013595317006970,0.001996384479545885482773720948463545257470,0.002058826093377418135610697080387868984220
40,0.000071031007223582680846168905223868014186,0.001855295380183516548545977128257739819440,0.001925398704069393645877305610931328496813
45,0.000078245278314823542912438439363693988094,0.001741526196979565914853683217581821795760,0.001818943583238816154405572458603865211927
50,0.000085164494602067177056249177313479984114,0.001647105739751296881131684988698579300370,0.001731520044312157209105298532216154897242
55,0.000091806394359986773741111722287243408794,0.001566944373423843118722938625614682065080,0.001658062904256423849745606573573581041937
60,0.000098187321948094441865845550500712477414,0.001497635160403288021715632659497600052270,0.001595185820002588136711349673620704144842
65,0.000104322362087586085647937561847500343196,0.001436808024606697896712736345830602024650,0.001540536615977085597671961350421674333923
70,0.000110225458912255657438787037869346485702,0.001382760511206376042124851057137294036470,0.001492428718341888850962865659394708331086
75,0.000115909521769227533342931942974883571264,0.001334236107934290265439604283702803720240,0.001449619899116680803210529743876345295752
80,0.000121386519458024428901656909720097022696,0.001290285595365024211270263971380769345950,0.001411173910283106488305764467818531774323
85,0.000126667564355366081978961757760082699544,0.001250177254281472551606964246800600595170,0.001376370893223187013013739889312745267357
90,0.000131762987669716455857061768172390805066,0.001213336941623954122920292450663478761590,0.001344647605838724247557174107491338688328
95,0.000136682406897808095583041333884356714432,0.001179307039237380479021044805028897090680,0.001315556489079603782499796977369661342556
100,0.000141434786409822148405554099245397103576,0.001147717676373969977006697677627492302740,0.001288736984265716814743773041538119003158
105,0.000146028491966152442491672523866006412666,0.001118266139752460824144692246012792274190,0.001263895021489665120853808845437395388428
110,0.000150471339863221651193127081890092055364,0.001090701870088139072220220760690352663150,0.001240788082217085470039384802726135144257
115,0.000154770641315706807507357598304705132344,0.001064815348151058404439513913070641320580,0.001219214141970339326786167313042785321462
120,0.000158933242605276307659282541206737924870,0.001040429738608145717486119277776235490120,0.001199003363323245670546318229878302792495
125,0.000162965561459577859831705394861485023120,0.001017394521709069439455928339391380124270,0.001180011770687162864961883446750361438695
130,0.000166873620068079574948157936663833450080,0.000995580579496836677518943860907491924480,0.001162116374623394740864532224140548047280
135,0.000170663075091966553450416949653841551614,0.000974876361014471070595652182886691797700,0.001145211370956519164472242101673686759657
140,0.000174339244982644907976038593191665353574,0.000955184858084590257219587007777534990420,0.001129205146892382605281361739920818636997
145,0.000177907134886254418271964774458711679252,0.000936421197130741769282426334728896117950,0.001114017900109112180084863883555949638601
150,0.000181371459379509875309451761334283486456,0.000918510704254953884121938480816456618760,0.001099579728440993411452389594913145312608
155,0.000184736663253975819143610930581807655462,0.000901387337525543610906544968299250951230,0.001085829084443251902698994522517653163346
