trigger,Ko,Rej
5,0.00004162482842227428185632057763643311773931284292838,0.03135680189473149933693094168853629068319510384445516
10,0.000081349320532527651945127586546657724861258691559339,0.017988562848045927227642684455500958883528710828848057
15,0.000119177855316059801916443696170063997952143878319968,0.013449875721747694674098103353038320755364583381878086
20,0.000155242906521252543763861305783529160702030520329620,0.011127902102592572373355124743733002209733613147698091
25,0.000189664961330894436165393022285177821669533991771281,0.009696273854029240258083748728240745312750800409485729
30,0.0002225537870491573767489284737152285197658613259173266,0.0087121716041883316006404200583808499916075805968515339
35,0.0002540095892715787400765223181172882474787674189683936,0.0079855379181835295750226459434261986707411676456077652
40,0.0002841240288943090874003147824998672731950744251476480,0.0074211815207340500494501046436087938091944782943707981
45,0.000312981113259286348709232244486010471443618742829406,0.006966104787918258647529087864471415132342137116574328
50,0.0003406579784082650999923605427123163772848243251818158,0.0065884229590051837597061622540009395996555042325861675
55,0.000367225577439959132059895382736601379001476391282662,0.006267777493695380292188248690020743486757584980049615
60,0.000392749287792383476040418492819918481022067342019301216,0.005990540641613145630499770011181207066939178881037524557
65,0.00041728944835033189563253544614901763488024143216310869,0.00574723209842679179266302561995136229692426693151403549
70,0.000440901835649019672413848916249260897099358999840354530,0.005531042044825501782378295058231740866817604762824724100
75,0.00046363808707691164465002488251941667934219630651753804,0.00533694443173716914759772379248651661937748143202461650
80,0.0004855460778320871896849372077005218719804926033295679,0.0051611423814600966216628333257669624947153753328889129
85,0.0005066702574214554003840137403004569488415597573618865,0.0050007090171258836417578808657946048361323117837239855
90,0.0005270519506788719652495150021286696640372535141304147,0.0048533477664958176179058178386617119795171940453516035
95,0.00054672962759121009864043770557285564099010811003592824,0.00471722815694951491735662826586816149152709119250023024
100,0.0005657391456392831317790489440277901925961991215119452,0.0045908707054958838069446045934465719276526796650102054
105,0.00058411396786460918498571630262663461660899827183409730,0.00447306455900984136231962255024048437473415151913413660
110,0.0006018853594528926322552590486558491432691967339518965,0.0043628074803525608210604086034280088146825553087079383
115,0.0006190825652628307877572939196260632570442010790767419,0.0042592613926042347039691239325659319637514448385831914
120,0.0006357329704211046859817209359893700054005438323489212,0.0041617189544325879900380957801426696032315853979271634
125,0.00065186224583831328599748258477763527620477368281148530,0.00406957808683627646289030095594218876517178354928162924
130,0.000667494480272310142607804857234772261225531470003871,0.003982322317987347555099774346966972547383945655157379
135,0.000682652300367865878462341684091795661362007442976280,0.003899505444057882147003998957621095648772488998399930
140,0.0006973569799305796820069205823761388348162632897495926,0.0038207394323383605532259479674959211930051197517956517
145,0.0007116285395450226813513831355134948573255400125111681,0.0037456847885229731561659679087246169589360490976105298
150,0.000725485837518050554825734835952028385961956562458872,0.003674042817019814255117214939960935887473955892579846
155,0.000738946653015909516727248404845985809326910485212214,0.003605549350102179247927091657354995445360277276981209
160,0.000752027762165932978026326512642764248339284660494347,0.003539969627399137504615627864401025230734160024598737
