trigger,Ko,Rej,Performability
85,0.0005066702574214554003840137403004569488415597573618865,0.0050007090171258836417578808657946048361323117837239855,1.82234938147919255421869964144999012857704662495E-8
90,0.0005270519506788719652495150021286696640372535141304147,0.0048533477664958176179058178386617119795171940453516035,1.69928478654230721027649973791344581595182381991E-8
95,0.00054672962759121009864043770557285564099010811003592824,0.00471722815694951491735662826586816149152709119250023024,1.591415017799079759745331738198990301708647565608E-8
100,0.0005657391456392831317790489440277901925961991215119452,0.0045908707054958838069446045934465719276526796650102054,1.49610109961433186444821389830220566994574964613E-8
105,0.00058411396786460918498571630262663461660899827183409730,0.00447306455900984136231962255024048437473415151913413660,1.411280123251378557472362931111625547671574052435E-8
110,0.0006018853594528926322552590486558491432691967339518965,0.0043628074803525608210604086034280088146825553087079383,1.33531693379720085207605087368763196497576002966E-8
115,0.0006190825652628307877572939196260632570442010790767419,0.0042592613926042347039691239325659319637514448385831914,1.26689914106533387941637949380490200639755430728E-8
120,0.0006357329704211046859817209359893700054005438323489212,0.0041617189544325879900380957801426696032315853979271634,1.20496145660286246487743935819976868669735211564E-8
125,0.00065186224583831328599748258477763527620477368281148530,0.00406957808683627646289030095594218876517178354928162924,1.148630270293724889771613973941320998746484697048E-8
130,0.000667494480272310142607804857234772261225531470003871,0.003982322317987347555099774346966972547383945655157379,1.0971824496103196952150200364546161218749524119E-8
135,0.000682652300367865878462341684091795661362007442976280,0.003899505444057882147003998957621095648772488998399930,1.0500142957239625832776229851011259159659325578E-8
140,0.0006973569799305796820069205823761388348162632897495926,0.0038207394323383605532259479674959211930051197517956517,1.00661786026903632599502409196062647893873427981E-8
145,0.0007116285395450226813513831355134948573255400125111681,0.0037456847885229731561659679087246169589360490976105298,9.6656267230019586716749186185412961344576697821E-9
150,0.000725485837518050554825734835952028385961956562458872,0.003674042817019814255117214939960935887473955892579846,9.294814914280772750045950019856223603050010009E-9
155,0.000738946653015909516727248404845985809326910485212214,0.003605549350102179247927091657354995445360277276981209,8.950590888107613481379891710891972850310649454E-9
160,0.000752027762165932978026326512642764248339284660494347,0.003539969627399137504615627864401025230734160024598737,8.630233354071808665305622353523486137253878158E-9
165,0.00076474500780777325263142898392213412397638027290053000,0.00347709408412959566229104394998883603951109611097856641,8.33138062389812039801194908944769286684737457993E-9
170,0.0007771133635036711242179528777524738374659042692636938,0.0034167348630690951601293809260210306445308284968453468,8.0519729337246720097481002408028834593754551356E-9
175,0.000789146992352131594123918364225462746899044718157269,0.003358722907306549871370758778320913538549880268928350,7.790205581459804597888384676978836160076522370E-9
180,0.000800859301089949206580640987629322558028677957786275,0.003302905522423358085952431368234714985309704531410405,7.544490493537368083838578975601968728425054892E-9
185,0.000812262989917627504677431350223654167187305918347005,0.003249144320646186958475013159525921686111866463905769,7.313424566320988348047955610664976509693278811E-9
190,0.0008233700984373535216616065581619644423709818485962390,0.0031973134777958169883844900543991726027995764283080423,7.0957634284818968466507625756378862239488979281E-9
195,0.000834192048052768074737212287553991447675000450426933,0.003147298247925545193791285444667091633140247304852551,6.890399545459706759899824136244924376126276010E-9
200,0.0008447396811444037372166907872845967162708863011033719,0.0030989936914612726569555245160330839603983979073639136,6.6963438520743174433837476423533444545271472583E-9
205,0.0008550232973032754371704667656369749638199783942592544,0.0030523035811880272074932837417933806338930117461855170,6.5127102610656461440339104154284392613653962636E-9
210,0.0008650526868775359093084348195569459879666465111378079,0.0030071394571425084846249390240103251230751909981444718,6.3387026003613991806731584896392113409769698786E-9
215,0.000874837162061181382187006094699569258702310503168855,0.002963419806787916157691393778725821362430139545900521,6.173603438512617024555946040108947370860106054E-9
220,0.000884385585732849056822705635782636587170232065626897,0.002921069351084769276788533843395816799178661307056445,6.016764563056977902758501732579527738911490293E-9
225,0.000893706398232339290388214584166374987493818702618906400,0.002880018420466575879590767838873795769983494490096443705,5.867598820694275544251693787662248798011023155415E-9
230,0.0009028076422447374692909035076085678717192461764364322,0.0028402024074659384485294686145244158846490611455655863,5.7255730780767466562445193259605808113368483146E-9
235,0.0009116969859464668229877345385562979504455177408481096,0.0028015612849538285494250264759177858128796666565931667,5.5902021405181208159754956790186380938923961958E-9
240,0.0009203817445532130663917157538342060924695369495230877,0.0027640391807600014274931042675134219039818733517736895,5.4610434692968655121176047583116321612753175027E-9
245,0.00092886890039711930069900728034671346934410568179131230,0.00272758400091985441092016312800744843002031719388996968,5.33769260143348067112280794434538174751645917068E-9
250,0.0009371651216488180518009521667784413096577052094877529,0.0026921470950071872965700080357967939466598516954832133,5.2197791260417684661542979914809150353540616472E-9
255,0.00094527677979012183679352563717806342905470402407925890,0.00265768295801512769474864465142214892982598894499651050,5.10696319257919171464313767579266815476106938835E-9
260,0.0009532099659332290681509240808392765059546582046209460,0.0026241489640786078837474889023525091682933364473581540,4.9989324021728173505581115570127109033414637240E-9
265,0.0009609705060746254581565055434894509585036704252370362,0.0025915051280241592076087858521235821590082049286120928,4.8953991041792403878801534220470073470127177181E-9
270,0.0009685639753638304964546200741760675775767492214172774,0.0025597138913112448683486108121897043768437599299654477,4.7960980019677340773983351336708922121519413133E-9
275,0.0009759957114602895979501860107895064794370461007797508,0.0025287399294146034467376935350797831139222517777730124,4.7007840111155411824458167042332756072296308914E-9
280,0.000983270827045871853587766009433635108466896743061426,0.002498549978106172371252465904406357904490829110738657,4.609230382279612509088104991397321216703520623E-9
285,0.000990394221554549786873588757456682487076715979402966,0.002469112676440058270049789491654119498906685553769619,4.521227017795832984574648562361765337756728202E-9
290,0.0009973705921757667919095902918528672091679053838309204,0.0024403984245373036017515640792500844983829064326303759,4.4365789795355698097284135275889530725175132703E-9
295,0.0010042044441834349491880452325884152186912447461377479,0.0024123792545158154181254332472638793095183512344940563,4.3551051457869575836219186916260516824938061684E-9
300,0.0010109001006383593528461485298360636452234748539913565,0.0023850287131237118199348015945219391867618370867565475,4.2766370180531095215331837518505460864147704757E-9
305,0.0010174617115078447920366894456884792982806310094268049,0.0023583217548160079115872257849637029393238551317339709,4.2010176368378330621847430124565682015467305045E-9
310,0.0010238932622430853343299824609531435230297815414489504,0.0023322346441706482521595184636173227844512108724735426,4.1281006113400289937336253003803047610929998773E-9
315,0.0010301985818515781483672280404747277656089220793831160,0.0023067448666744986421855781624144849385564920467779771,4.0577492689031767699976777552727400220430768753E-9
320,0.0010363813504986359755450920832365454374730233308699374,0.0022818310470255405613553165802954992713712386734441432,3.9898358358005486589652821010263564850974677851E-9
325,0.0010424451066702097743986407271081740917066509549718471,0.0022574728741981809692777511430312119297272180802392588,3.9242407581615376878340354945545741575897494344E-9
330,0.0010483932539257505417873617006720689003251087478969277,0.0022336510326054821540586832948073251667459976873252835,3.8608520305961247258054216600114227066181630772E-9
335,0.00105422906726871686879974029448983475039801427272729947,0.00221034713876793909812209247954001461132629182712801437,3.79956463180708520594684537975455320266345903244E-9
340,0.00105995569915931438128662480443101224546224249707392140,0.00218754368296437275409320771492488014227871028275827063,3.74027997597472916649607683339626868872794382199E-9
345,0.0010655761851930645570482096765105332483469989901250224,0.0021652239753982827708651867041214498714903861111078039,3.6829054412157644534450423173243800062918186414E-9
350,0.0010710934494664255757823150192231126535396587431160265,0.0021433720964635379513768441785604068502051668794954175,3.6273539292368776233529670942032378034773244240E-9
355,0.00107651030964943481539254146867170632259453718522112970,0.00212197285073745166074310396658363764504328688482449482,3.57354345144280917678049317790011342201639333956E-9
360,0.0010818294817840422163533646472808707700348687729582937,0.0021010117243686644628828321625217319029883362259756039,3.5213967783984881213051431541564618023324084797E-9
365,0.0010870535848250069567428631397651310386687580639313860,0.0020804748455611836953736189944614763410796808513782642,3.4708410840006656961781981260138805696269510525E-9
370,0.0010921851449396046134531626426047245074144114091689219,0.0020603489478867380867922552885030839638843630894122068,3.4218076554539983440600720047027230081160714940E-9
375,0.00109722659958075742070996953180192181609821461484059190,0.00204062133618410262955432578829002987943928807908694747,3.37423159643189865894643489991975205781059370731E-9
380,0.0011021803013475300579511801006488604405760180728320393,0.0020212798548281808046355338235613798957372872736840032,3.3280515797840329251432475874977499074471808643E-9
385,0.0011070485216456885405788312930906009491935254167566153,0.0020023128581724896339360399705784407454780698223595021,3.2832095964240138384736468402018324739848475332E-9
390,0.0011118334541604802110931117097204998074532758301927945,0.0019837091829878305706807698216207538303988119206030316,3.2396507436369776359120479859542466869141851992E-9
395,0.0011165372181526014785646046338877762936005147597731742,0.0019654581227364075228732817051711881827107014281796307,3.1973230170387205406419693004522732403458228111E-9
400,0.0011211618615879148628207294714398661296199681254309889,0.0019475494035359018647988599457837767741718058251242977,3.1561771282804344499080397010802619664577327422E-9
405,0.00112570936411046854582907268457224183218229052921377824,0.00192997316168112179422386426825236733820655182866410412,3.11616632597037709722735995333985365997608266896E-9
410,0.0011301816398680817404271524869518839096825263798104126,0.0019127199226031879746599485129932781197788206711162869,3.0772462467095968686256032579329807194507263565E-9
415,0.0011345805401986969162121511890088107356693048720824132,0.0018957805811565950367255121642230844233912667397108282,3.0393747461674443780488160126395009283034897647E-9
420,0.0011389078561858158464407246824019973705456005869022253,0.0018791463831345134749503869354425989708031872455527839,3.0025117923232782535562292861923281767207302452E-9
425,0.0011431653210899068944796943605702449744283394916656879,0.0018628089079211013768846864300584122831286497481279078,2.9666193064932002319406370075997909462357419683E-9
430,0.0011473546126632724904857429523960582484838229191721672,0.0018467600521977030543638343418107208843689708862040471,2.9316610712676378854582358020032913813575567392E-9
435,0.0011514773553543892917314528214281387546623812953200134,0.0018309920146265708510107504344281422068796787742791128,2.8976025988687302480107674413693207529817268246E-9
440,0.0011555351224081957142171271193101250397572806987006472,0.0018154972814425181770670476631993267130800516549369029,2.8644110478100214263782356987090230031642623935E-9
445,0.0011595294378677535546677838764442634242793461235097731,0.0018002686128883049054379169544842190541756140951040673,2.8320551211021854160212087621845363854529253792E-9
450,0.001163461778482698343759464122578795177568493262738596784,0.001785299030435059857664171681618625123388064608806970792,2.800504965849162301259977806934081272483475984146E-9
455,0.0011673335755296941863416157678716972693630270203446740,0.0017705818047337537278816467979188822635495142365866320,2.7697321114535899244546987379039833992945351288E-9
460,0.00117114621654930758710316026997205749915875266707516680,0.00175611044424790322386055262006735586058404300325864200,2.73970937959106372018369089276454703809269705610E-9
465,0.00117490104700391313694128978633179096345525048824054262,0.00174187868452177637535917492951995884498571953441542158,2.71041081650647679403382975446156287307606322390E-9
