trigger,Ko,Rej
5,0.0000208124142110529890503844371970490195387347406996,0.0156784009473656889135528588957236614940213770454320
10,0.00004067466026629183636311354781022801137957613826328,0.00899428142402298446876073450907130154625734926179200
15,0.0000595889276580530304980060200144571859332670305832,0.0067249378608738608342095990888345794807349778414400
20,0.0000776214532606122612504039591007509107383614476528,0.0055639510512962764035831833519960082886086949444100
25,0.0000948324806654613991575620794716501419240731715064,0.0048481369270146301690516265538778414525523896517000
30,0.0001112768935245813778776398642400826148685269398348,0.0043560858020941606489111725500833569919661377170200
35,0.0001270047946357975582658071130698857727502428803456,0.0039927689590917690242878752461990431090047985421000
40,0.000142062014447167842644955522755103629947478286900,0.003710590760367031836595598448690091770923476245800
45,0.000156490556629651101032004238338301419216871470368,0.003483052393959133809835370040640141763511882728500
50,0.000170328989204130873834117074147811294668753842192,0.003294211479502593981103970905662036590834357649900
55,0.000183612788719970338642263337774747425816188914524,0.003133888746847684264136188805780745290912946701100
60,0.000196374643896190131551861655130812031208643122288,0.002995270320806576698956701882736298123929025685500
65,0.000208644724175171926298220742288367180727083689312,0.002873616049213397223319081257152391915306606814100
70,0.000220450917824512548405596513915590036146391707784,0.002765521022412751866336819365001648926688658176200
75,0.00023181904353845648030699820253220525878505586390,0.00266847221586858052284740019182266465771086634930
80,0.00024277303891605197755542667485456287080215574136,0.00258057119073005106830433972917170084673878929260
85,0.00025333512871073309647983770414664282435112561864,0.00250035450856294508030473101950517211428491261620
90,0.00026352597533943258233464682930747689206114708620,0.00242667388324790895548222290075802006591097225280
95,0.00027336481379561453118452570093001831811437950928,0.00235861407847476076656859872455841865426306755520
100,0.00028286957281964644734410865122863071402278259390,0.00229543535274794170855173714923933363672156476510
105,0.00029205698393230121619052336216473924227717829274,0.00223653227950492068526003629589038765991570334190
110,0.00030094267972644794992842458743136484482832305336,0.00218140374017627997988317386597595150403391127280
115,0.00030954128263140784107062983696482165533372363460,0.00212963069630211495020413222073588639668095532900
120,0.00031786648521055317257302251001606619404450795100,0.00208085947721629241064284377381722074627350771400
125,0.00032593112291915457614865705344006656980705684712,0.00203478904341813905385107464610249296209053139300
130,0.00033374724013615537118265270459948110172090479464,0.00199116115899367008388848092690439392502629688400
135,0.00034132615018393557683646838870334288979512309436,0.00194975272202894164320234236068878163590067067700
140,0.00034867848996529052808544571301474461637070582556,0.00191036971616918228208106757273781184767115681600
145,0.00035581426977251042144923292045911159123826172360,0.00187284239426148528656296216398275079807954983600
150,0.00036274291875902042825786528702902909756363918488,0.00183702140850990889439968676101997276927529590000
155,0.00036947332650795110346030860545252951581655249104,0.00180277467505108750473720547407020405320989906400
160,0.00037601388108297088737991007323665102085015703420,0.00176998481369957121300968827542163564111878500200
165,0.00038237250390388549058794959173969605220015728780,0.00173854704206479562766732270524709742079444422800
170,0.00038855668175184261721997858858350488797357957708,0.00170836743153454853481603808475961029118100136100
175,0.00039457349617607663839011587685998975345897722472,0.00167936145365327493557042447862547129619670260100
180,0.0004004296505449677083800202039049856298972512538,0.0016514527612116761133314822069042548986842400130
185,0.0004061314949588067572834951906073922056510190832,0.0016245721603230963754206787877668922998700032980
190,0.0004116850492186774054313887285575865617965909036,0.0015986567388979099502132806670198324984039150680
195,0.0004170960240263922529608812502679332403137127094,0.0015736491239627772822443359070381746955125941110
200,0.0004223698405722002090526775109181727996616011066,0.0015494968457306360161617901859897291068796187270
205,0.0004275116486516400588293903817239666285444757200,0.0015261517905940161258392466781922048952840768160
210,0.0004325263434387727622776277753532817029966019244,0.0015035697285712547124721985659124721017925809420
215,0.0004374185810305870332656807584942698599392847872,0.0014817099033939568584892985406724850934065632840
220,0.0004421927928664186193955822550754278321100302274,0.0014605346755423849747450879561162106369690017170
225,0.0004468531991161686046851777890837574134224906528,0.0014400092102332870266619856715277109728778768680
230,0.0004514038211223687126948645534727138219249975882,0.0014201012037329672800820559116741113196043897890
235,0.0004558484929732295672184022275463611620060695048,0.0014007806424769106594774210585052691793954387000
240,0.0004601908722766080356065317975573229487618895964,0.0013820195903800013292447114780713141908064933720
245,0.0004644344501985627270175245440126770685821423240,0.0013637920004599276960019926586400900571813407500
250,0.0004685825608244114829802041586967912885006756998,0.0013460735475035942147598972606325233708725246230
255,0.0004726383898950627634526850172932194080328128488,0.0013288414790075642706448892963167694486602897600
260,0.0004766049829666118109874113593683866037832121392,0.0013120744820393020467226772743095401430895859380
265,0.0004804852530373145428579787074765567560014540876,0.0012957525640120804342541912419918407505714243100
270,0.0004842819876819177291943685006263607585312608526,0.0012798569456556222235281748129152621599640888030
275,0.0004879978557301468441947652100081343239435594138,0.0012643699647073025453641907102615969444954678510
280,0.0004916354135229321893584669724695970877102053116,0.0012492749890530838497205694913828827502761325420
285,0.0004951971107772696489537697820949209235525553918,0.0012345563382200288297340608722487495665073120430
290,0.0004986852960878789535086055645065360464509879596,0.0012201992122686504711283431992448743645016760500
295,0.0005021022220917198146745923613049880523842921808,0.0012061896272579062579307779012700806518251171700
300,0.0005054500503191813302642080882802609710459828494,0.0011925143565618577031775921850477089865061335130
305,0.0005087308557539210134483981758206871568626057796,0.0011791608774080036535682934923591638494607819600
310,0.0005119466311215443285670955763600393245124120406,0.0011661173220853250922188709898111984727371260290
315,0.0005150992909257889586605206785359851370921816558,0.0011533724333372514573564696412693402544129051070
320,0.0005181906752493232355693586781271311666430526764,0.0011409155235127717870130434736200845141367141300
325,0.0005212225533351076004300446467062454002009077442,0.0011287364370990915146540748033028321133550752210
330,0.0005241966269628804570119746987911750523597361574,0.0011168255163027420676288176087666083116310742050
335,0.0005271145336343592188871157395459634031587560136,0.0011051735693839700914219761253046530878006705560
340,0.0005299778495796562024834973358581578597181055278,0.0010937718414821850326015255018866404648354431330
345,0.0005327880925965337771182656760709486053898073506,0.0010826119876991425836720465305389948282552948450
350,0.0005355467247332121081836039258227158076614487222,0.0010716860482317691764753497657558804448530983930
355,0.0005382551548247171515486703588673327186852575292,0.0010609864253687280587842975745517275459972083320
360,0.0005409147408920162978097333138441288272050240790,0.0010505058621843313848950962509905399268010137790
365,0.0005435267924124958228901464921962182465815387090,0.0010402374227805895002239421090794782543690106290
370,0.0005460925724697980706811127019471069150784076164,0.0010301744739433669430841278307836441780331659600
375,0.0005486132997903786488691723836575131479885583946,0.0010203106680920509719191892131169619830224849810
380,0.0005510901506737642103075299494390083960579431816,0.0010106399274140897317460792863781380627457401700
385,0.0005535242608228463878986418725753730924241434564,0.0010011564290862451180729389125331660912843680460
390,0.0005559167270802418577427483190228877298183006822,0.0009918545914939145891625785024475931800371886170
395,0.0005582686090763062202171307107968678522642832946,0.0009827290613682051461656239420903669717158762330
400,0.0005605809307939551531367710928388855229667730880,0.0009737747017679502906641497074136803271021957180
405,0.0005628546820552382966891635821295652832235662098,0.0009649865808405620379033727147792066967516462270
410,0.0005650908199340401114243197986374755213910680434,0.0009563599613015945389908718854451766468827916150
415,0.0005672902700993504839750679959220679750150517790,0.0009478902905782979177459090364967607060326590430
420,0.0005694539280929075263463405746998527260901358214,0.0009395731915672571323308808361481289456052720590
425,0.0005715826605449550935090890778210201012739083164,0.0009314044539605520667450322585972630272129260320
430,0.0005736773063316341319288070294721445188243799312,0.0009233800260988510005306326470236512133965742300
435,0.0005757386776771919687974032139904376097259169746,0.0009154960073132854819447458719938083300240378530
440,0.0005777675612041013190065995128429008258239015380,0.0009077486407212598024357795514047177044508767900
445,0.0005797647189338762921051307722868305169444057512,0.0009001343064441517320066848285396765680976700620
450,0.0005817308892413509170624252848410317562078146152,0.0008926495152175296166245784944742991520811521860
455,0.0005836667877648510438717633758446584845290025542,0.0008852909023668770400412946849902406114214302530
460,0.0005855731082746572116789838579937247286584791632,0.0008780552221239514590801291891791063874345189340
465,0.0005874505235019565066540829184973146780348267586,0.0008709393422608876938056470511172232721577785710
470,0.0005892996859303751267101607286045629521839079170,0.0008639402390209350833614463519450234858240307990
475,0.0005911212285520421104331667865512410259875656414,0.0008570549923263524012774354868801998439106442930
480,0.0005929157655900274904461534892393094456646961924,0.0008502807812454433224053113090567573442073276840
485,0.0005946838931888807795633854211240300824108643898,0.0008436148797020959880906397328440708003882681610
490,0.0005964261900749105804699443972248930682209778664,0.0008370546524124315708122466050006353322098449300
495,0.0005981432181877254804766376377498285208304859656,0.0008305975510342804678637335369816353456606021980
500,0.0005998355232845135256220202563649355085992532490,0.0008242411105162546026983967850028657090215149110
505,0.0006015036355183765463712267920741210790047607936,0.0008179829456341516538060887492885622645117236280
510,0.0006031480699920718234831894897111038403013475114,0.0008118207477032804636867753696941993774747375150
515,0.0006047693272883085376943194986010743932679406048,0.0008057522814561081799887259948098368652020373800
520,0.0006063678939778096885170214449254122823722190696,0.0007997753820753836558483934787632098123399735700
525,0.0006079442431061612538304168247820883639157164946,0.0007938879523735510225306888479664865062699024690
530,0.0006094988346605068341146113196086870751119085742,0.0007880879601099025957700793968091834064638448210
535,0.0006110321160170804345657680027927185126677872128,0.0007823734354375151784670752657379965292701075540
540,0.0006125445223704209558324513205304237940697038640,0.0007767424684725199422500653624475548782788188700
545,0.0006140364771451836793329736195364943909298052058,0.0007711932069787654204415932876776248111665082370
550,0.0006155083923913960779504348126564447990544433848,0.0007657238541614099047780343022120105110056949500
555,0.0006169606691638175818371485383221925081488628770,0.0007603326665633232185148547877821895008954533350
560,0.0006183936978863077834480081446557707179424714144,0.0007550179520587138812362406386577170348864458460
565,0.0006198078587017082928623571239036922045703128202,0.0007497780679385643015340983603376891725028123030
570,0.0006212035218080799638919197527640393742525664752,0.0007446114190829997038279635291316871189083452880
575,0.0006225810477817692352870910744290892038849397280,0.0007395164562158548689379672033163254334197036060
580,0.0006239407878879857183282953504486499211811601392,0.0007344916742370983264651205241274284965532701820
