trigger,Ko,Rej
5,0.000012837518684563890514160268257741149993588,0.001494754536454003799902988264971298290130000
10,0.00003750671963575627374889149610295989803148,0.00140342830027333421834794524758302113577000
15,0.00006567745885969822907317230970371181481292,0.00129913924815364513251996808236549330952000
20,0.00009329666288519249113637207443642757835808,0.00119689199843749012520911790834827094519000
25,0.0001187149632391541095035778939680086075690,0.0011027925703275210022590138948946076365300
30,0.0001414522993174171848761297003004152963876,0.0010186181648041584890188511101941311104300
35,0.0001615448805896607367837683660335884351600,0.0009442347331567813271484119080058981225100
40,0.0001792295588756086577851910690995719183504,0.0008787654417469399576884866825322291637400
45,0.0001947998164093019568018936994410733737802,0.0008211238091813182688738914684160308973400
50,0.0002085441160109813648278366124052854405342,0.0007702419361103429798860075108299548103200
55,0.0002207224559215073369169524818860739122880,0.0007251573000429830640473661055135669305700
60,0.0002315600522899001923471157565789382292726,0.0006850361429966357775025922378723665389800
65,0.0002412482777045449820918990418685377034476,0.0006491699970221489109416190750102726697200
70,0.0002499483131008532198675552276935026565732,0.0006169621647151532726847900550781670709200
75,0.0002577954821576012661523969270251878110680,0.0005879116731307641076268838321910899398600
80,0.0002649034122694011329992358732917177384884,0.0005615978697193686912752735903219079673000
85,0.0002713677081520855859225635233540719049856,0.0005376668225122927497974135622563750143800
90,0.000277269066694568338224257721850493815184,0.000515819788832362575251820000724504919330
95,0.000282675863345735639640019862768833781464,0.000495803640400059968427811009171635195410
100,0.000287646276698943690804621372040154925326,0.000477402998048137108644228925984814522660
105,0.000292230025055327080062797713391897881028,0.000460433802904112611307266444186804024140
110,0.000296469783695805285085394834959612952444,0.000444738069600250255256593045005504071990
115,0.000300402342326338398103939600766599638436,0.000430179601371100236209936038815815077060
120,0.000304059552244703882172343387110540939269,0.000416640483609330600132987025988931520305
125,0.000307469103675792742986239619335883837695,0.000404018206143520051630171957665000246611
130,0.000310655165923134921848801806224746375236,0.000392223293375053308830384639024549469742
135,0.000313638916535746691149078389767792091087,0.000381177345284122119451396371890395341081
140,0.000316438980463094121326159944674794894300,0.000370811411662850871027449546139913892132
145,0.000319071795982572640751283716330210918774,0.000361064637439079365984066208518085763748
150,0.000321551920847524975121247967053182101062,0.000351883129305826601281910310352834557060
155,0.000323892289453388013433582450695520857289,0.000343219003683283786415715003390009729905
160,0.000326104429715448794427003121018007412825,0.000335029583829864718585033138613723474323
165,0.000328198646679776790773667301542414767954,0.000327276720108164415726933828968475854642
170,0.000330184178558165150698589972908599659862,0.000319926212338227973918593879763875202516
175,0.000332069329816005165568352731520466476293,0.000312947317101591360722334601521329940597
180,0.000333861585092306879949149061987894343250,0.000306312326005472957678158263696470120326
185,0.000335567707048788432690040130774055076474,0.000299996203441999249009481151881674616022
190,0.000337193820695479141573540895892743756217,0.000293976274411947291111948039806511198701
195,0.000338745486295927300935465158729073726640,0.000288231954627113747280973877140858038948
200,0.000340227762594732938244123405229467241701,0.000282744516439814194767336142870964967285
205,0.000341645261816617543526031447401083989015,0.000277496885234414351890091853007890192273
210,0.000343002197646439365184300483282651871237,0.000272473461803652978357312995844885225855
215,0.000344302427202911181011964484048845783069,0.000267659966960495600166880399865246502913
220,0.000345549487856905626284275067492629898815,0.000263043305235468323610744440635503337965
225,0.000346746629611636038794152968060425467474,0.000258611445004138352038603028935372065504
230,0.000347896843651198375002705660790505578603,0.000254353312799403979738851056283343242915
235,0.000349002887571949554178869052168953753870,0.000250258699904053215355436718987521303190
240,0.000350067307734397503402518321657592387140,0.000246318179603313918358307908427520868494
245,0.000351092459109021375632341269714162846053,0.000242523033714921893147980350489806527537
250,0.000352080522935554353665584031869967664663,0.000238865187213850095139958126758436126359
255,0.000353033522469863031299376519344132533880,0.000235337149936823130638237469136941633598
260,0.000353953337054240490520806819470891424616,0.000231931964493584880011139467843250309206
265,0.000354841714714521005041037983683354550808,0.000228643159631970322084282895025958742716
270,0.000355700283459847864187925042125985832382,0.000225464708405755121303215312558707985592
275,0.000356530561437525434789342441141753990749,0.000222390990581047686878810112640511201491
280,0.000357333966075357431340600250625994489954,0.000219416758791032415565635816441344930012
285,0.000358111822326770755289295267533769353900,0.000216537108012244260455421559921392527286
290,0.000358865370119330125758408794029337195446,0.000213747447989901969836136799885320400224
295,0.000359595771094640849878545950520153576185,0.000211043478286552997189021364492387688749
300,0.000360304114716752338198047478389797341048,0.000208421165668563239131515601098945353978
305,0.000360991423816771135099371206905765611246,0.000205876723579756938532414861905980351698
310,0.000361658659633274144723751359828154561479,0.000203406593481634037287512017908970862669
315,0.000362306726401048197325788275488196288145,0.000201007427865705778656295413239940436761
320,0.000362936475534538408824482054271330005834,0.000198676074766204895543323971427224302572
325,0.000363548709447074558396839117971151703204,0.000196409563621207191185790636996516193194
330,0.000364144185042233582335057087875439519070,0.000194205092347455815261210068990125701680
335,0.000364723616909669429538341024099976384360,0.000192060015509305815367813769948288709290
340,0.000365287680254129678288007025880361036567,0.000189971833475401971732036694957937685363
345,0.000365837013583256683987720342055695956958,0.000187938182468340331622122027761148071022
350,0.000366372221177015264325197822368388779494,0.000185956825422769693514273286656169021760
355,0.000366893875359149214373000273837818026581,0.000184025643576366409630444480792012551029
360,0.000367402518588942197002439156472387358238,0.000182142628726081649406928876503475564956
365,0.000367898665389638972202753719763573318332,0.000180305876089045173786216215755875365538
370,0.000368382804128232120879181125658317707163,0.000178513577713736014355805055755027766633
375,0.000368855398659817523197376664754652506233,0.000176764016392528809148700105703592501287
380,0.000369316889848399893993424192156290141669,0.000175055560031613156852942439500102113207
385,0.000369767696974865949169541356059405970975,0.000173386656438627886321169544115509202575
390,0.000370208219041787578324804561511231509664,0.000171755828492229118948512900536019086022
395,0.000370638835983796665155203148499595085373,0.000170161669661259612094251752949660619993
400,0.000371059909791416251940852857345029651820,0.000168602839844263706416035938129202256368
405,0.000371471785555522223060055680235181478750,0.000167078061502871636196814545915456751544
410,0.000371874792438910742697502579346255653558,0.000165586116065011847992346098209569365802
415,0.000372269244580869894024584284109172370210,0.000164125840576162405132757722036605571850
420,0.000372655441940104938603711700780944845982,0.000162696124578808848128918677364439296810
425,0.000373033671080891004741123953346954263808,0.000161295907202081618131638583427638184690
430,0.000373404205906887732160091209501097479102,0.000159924174445146930209728430989154606282
435,0.000373767308346662772194476594504983661027,0.000158579956639377568102679700387480786713
440,0.000374123228994615193396761241736853232642,0.000157262326075632664095800514162600622090
445,0.000374472207710670275935907100616025200738,0.000155970394784159059977636517874043136248
450,0.000374814474181837572927724944807894100686,0.000154703312455698986888566545021301250402
455,0.000375150248448441434034137515504274920409,0.000153460264493343585498286331420745860213
460,0.000375479741397634401373762199504841498073,0.000152240470185559714391608421620402927467
465,0.000375803155226537844996824805058816704922,0.000151043180991597487358015032152993873256
470,0.000376120683877213827460981603571957167111,0.000149867678931227882780119879664328711289
475,0.000376432513445454223508762881724795514196,0.000148713275071387997658386750456816281496
480,0.000376738822565229087577793640355979405479,0.000147579308102931628938468997082716492133
485,0.000377039782770496387573827473221729803770,0.000146465143001210121199532779052417382722
490,0.000377335558835918191694448835119850897639,0.000145370169764713573117985462811240889035
495,0.000377626309097939413460973828380968398402,0.000144293802226442636863504216321962978584
500,0.000377912185757537798895294804046817091392,0.000143235476933106326633121861748579990328
505,0.000378193335165883656879149415515657494492,0.000142194652087606390686152414364929035934
510,0.000378469898094032474851041274570190474308,0.000141170806550618515123132999069900047194
515,0.000378742009987703169896505120219111129288,0.000140163438897400291167160196228015745650
520,0.000379009801208108018956681347161061921077,0.000139172066526233986252305433272733417227
525,0.000379273397259726502517520517517907775871,0.000138196224815186018547955329208984933565
530,0.000379532919005866270705882720166666152451,0.000137235466324106427284500654889510981701
535,0.000379788482872769299706942577501204007684,0.000136289360039017185434024090297923556484
540,0.000380040201042987106754582343111012572528,0.000135357490656228986545107580690159038808
545,0.000380288181638683568640052655200101453285,0.000134439457903742988071333642520423810455
550,0.000380532528895493096577062779504083393157,0.000133534875897637915608780726255192468337
555,0.000380773343327489646105775083460115676871,0.000132643372531325260222199032430636229001
560,0.000381010721883825628956982579583290070357,0.000131764588895688175818189501241310250047
565,0.000381244758097514862644561023022491033772,0.000130898178728268881698861819191846999602
570,0.000381475542226840272568924420204509513599,0.000130043807889780793305562530470230746139
575,0.000381703161389805856755033948473924966781,0.000129201153866353134381146238182797200511
580,0.000381927699692049050573645251444233225463,0.000128369905296008060656321504668830160823
585,0.000382149238348573192099024844102540462927,0.000127549761517985152172187059184277587837
590,0.000382367855799672663929315782958113394242,0.000126740432143604211980265382475349700522
595,0.000382583627821356033382754344903952152248,0.000125941636647454324852098450824290995748
600,0.000382796627630594131385684639089275184818,0.000125153103977773952571253137796399197928
605,0.000383006925985668766177163612670603095032,0.000124374572184954390308272441026538105142
610,0.000383214591281894741904215979426485644696,0.000123605788067171221577573895471826765056
615,0.000383419689642967976271749979832032270894,0.000122846506832213866976866310455608468244
620,0.000383622285008172832119139267932226985076,0.000122096491774635944321588027244011164446
625,0.000383822439215674458380608956464002244766,0.000121355513967409147851498551536395340956
630,0.000384020212082100293969354285893106531339,0.000120623351967307638979164322814388836089
635,0.000384215661478607083182070036670278706861,0.000119899791533306771247435595016327784231
640,0.000384408843403614595808187066932206823600,0.000119184625357312679979612934583251780520
645,0.000384599812052384659143010691221064514716,0.000118477652806590524224981817398524320266
650,0.000384788619883599411814293581245826462765,0.000117778679677287772090115779017696711275
655,0.000384975317683090723241047299686101361865,0.000117087517958491495471865152222617538475
