trigger,Ko,Rej,Performability
5,0.000002767086174360391046374526430382199,0.018784142557432646890571818964497846000,0.018786909643607007281618193490928228199
10,0.000005526974700988964661695745817394037,0.009939783516290191413044358909238301000,0.009945310490991180377706054655055695037
15,0.000008231268857831721956380859441760605,0.006947675535285231799373156460284764000,0.006955906804143063521329537319726524605
20,0.00001088131859303765355278015759034613,0.00543866453306293388716787378367725500,0.00544954585165597154072065394126760113
25,0.00001347859561129677487079377768609797,0.00452626202423433540307889791459063100,0.00453974061984563217794969169227672897
30,0.00001602454629388729430865954387256968,0.00391318352936585597468917708908046400,0.00392920807565974326899783663295303368
35,0.00001852057252628396963917545342403643,0.00347157800033701869605705699312572700,0.00349009857286330266569623244654976343
40,0.00002096802864703099277444984643564648,0.00313737196691744037742082729129860200,0.00315833999556447137019527713773424848
45,0.00002336822190479293058512398459900830,0.00287490903945064123351685330287538400,0.00289827726135543416410197728747439230
50,0.00002572241388907864457846334193449528,0.00266276723632167547906345975388401200,0.00268848965021075412364192309581850728
55,0.00002803182224568775683032952922895837,0.00248729955625576287692233419967826900,0.00251533137850145063375266372890722737
60,0.00003029762245116520266872681713311684,0.00233939937872309502307763767644157300,0.00236969700117426022574636449357468984
65,0.00003252094956297661719453575732116667,0.00221275666963781770097394450119964100,0.00224527761920079431816848025852080767
70,0.00003470289991309014019304303598290562,0.00210286055577569310181406717859052600,0.00213756345568878324200711021457343162
75,0.00003684453273257295523185649452574919,0.00200640038396162147833780834105039000,0.00204324491669419443356966483557613919
80,0.00003894687170356500771730544619699209,0.00192089112579514700617748820222783010,0.00195983799749871201389479364842482219
85,0.00004101090643878834341392765153028254,0.00184443084908016713955114570647397500,0.00188544175551895548296507335800425754
90,0.00004303759389057953615070583971271550,0.00177553894858582375540972333536039660,0.00181857654247640329156042917507311210
95,0.00004502785969220809872854225560779465,0.00171304541122940310417558738528320840,0.00175807327092161120290412964089100305
100,0.00004698259943462312944444585176337942,0.00165601326993989639584937232287020560,0.00170299586937451952529381817463358502
105,0.00004890267988181474156548012606290815,0.00160368319295727414379668515410421980,0.00165258587283908888536216528016712795
110,0.00005078894012796657457094056701591788,0.00155543317136300589899899645459057780,0.00160622211149097247356993702160649568
115,0.00005264219269946828074976257477493816,0.00151074871342446646017859606804424050,0.00156339090612393474092835864281917866
120,0.00005446322460472141349197645256798368,0.00146920048364638575335542639079178150,0.00152366370825110716684740284335976518
125,0.00005625279833454049545813514518636209,0.00143042730358156592977019973068378020,0.00148668010191610642522833487587014229
130,0.00005801165281578728017953547341223964,0.00139412307190927609935234318905076200,0.00145213472472506337953187866246300164
135,0.00005974050432074112786498855851139845,0.00136002658840414748080315550153876280,0.00141976709272488860866814406005016125
140,0.00006144004733456107958757433081231666,0.00132791355633538457292666519515291940,0.00138935360366994565251423952596523606
145,0.00006311095538306200914479384567307713,0.00129759023783540114047707556598359670,0.00136070119321846314962186941165667383
150,0.00006475388182288994136463163379857114,0.00126888837681270447984383831941137880,0.00133364225863559442120846995320994994
155,0.00006636946059607959874953429760090839,0.00124166110338829867971815874146926910,0.00130803056398437827846769303907017749
160,0.00006795830695082940806626272700501915,0.00121577960529771362999120165440384670,0.00128373791224854303805746438140886585
165,0.00006952101813026488284693269750823079,0.00119113040368433198538292226509120160,0.00126065142181459686822985496259943239
170,0.00007105817403081177307442351104267262,0.00116761310894086428605728489851232360,0.00123867128297167605913170840955499622
175,0.00007257033783174966208773902597832172,0.00114513856066071182441528119991551730,0.00121770889849246148650302022589383902
180,0.00007405805659738964095880494431561347,0.00112362727706890935738071731563018350,0.00119768533366629899833952225994579697
185,0.00007552186185327345716447085836671853,0.00110300815542922395385201048436616440,0.00117853001728249741101648134273288293
190,0.00007696227013767116078101007275352309,0.00108321737723399522273409109089855330,0.00116017964737166638351510116365207639
195,0.00007837978352962508122579476955941285,0.00106419748145317679026751089950983030,0.00114257726498280187149330566906924315
200,0.00007977489015468085042257457993464703,0.00104589657645982107243647821332360010,0.00112567146661450192285905279325824713
205,0.00008114806466940744604279202532489827,0.00102826766697902031509064291962369640,0.00110941573164842776113343494494859467
210,0.00008249976872573280177077205165395551,0.00101126807691005231286264694800036310,0.00109376784563578511463341899965431861
215,0.00008383045141607603142340042587504918,0.00099485895243211419035934574953861210,0.00107868940384819022178274617541366128
220,0.00008514054970018883254579636792835841,0.00097900483263683807701278378794876400,0.00106414538233702690955858015587712241
225,0.00008643048881459182235526233381606325,0.00096367327719701640056439837262870940,0.00105010376601160822291966070644477265
230,0.00008770068266541204308647047714408662,0.00094883454240443889743786961682920290,0.00103653522506985094052434009397328952
235,0.00008895153420542046543877245692085808,0.00093446129838371735718438371197375400,0.00102341283258913782262315616889461208
240,0.00009018343579599475705940599995142836,0.00092052838148710742463100314052412300,0.00101071181728310218169040914047555136
245,0.00009139676955471159220589538339456418,0.00090701257685331684485595711248211530,0.00099840934640802843706185249587667948
250,0.00009259190768923345513682594703912427,0.00089389242691533433465722340193894830,0.00098648433460456778979404934897807257
255,0.00009376921281811528190693376943495919,0.00088114806230293230946659360653348220,0.00097491727512104759137352737596844139
260,0.00009492903827912273401337683052356433,0.00086876105213183998644934379496620160,0.00096369009041096272046272062548976593
265,0.00009607172842563795448819380157042936,0.00085671427112515240536342023376499670,0.00095278599955079035985161403533542606
270,0.00009719761891167493898937492184349857,0.00084499178139059453072020343970678540,0.00094218940030226946970957836155028397
275,0.00009830703696601984280217568292909534,0.00083357872699351312273678851931901830,0.00093188576395953296553896420224811364
