trigger,Ko,Rej
520,0.0001376043117333221283755452239798900,0.0004904817379817209476944638136822783
525,0.0001381773200675298029994092365772075,0.0004860885203627787308857888645420078
530,0.0001387435309156320103336020148003771,0.0004817592563254741590952774681566815
535,0.0001393030488880237967375683207902388,0.0004774925647318692849121133322926640
540,0.0001398559766083959603378659738382101,0.0004732871065228951844712666754414478
545,0.0001404024147597106249914214301256359,0.0004691415830054647205318987593204246
550,0.0001409424621288968702073773886137923,0.0004650547342271043701967754427105004
555,0.0001414762156503071929557513054831019,0.0004610253374327764890133250137839429
560,0.0001420037704479736109652217560675442,0.0004570522055989360206191536650890244
565,0.0001425252198767093528900571578806541,0.0004531341860401903777771532332591838
570,0.0001430406555620810813313631176993328,0.0004492701590842931971452718278577234
575,0.0001435501674393004716311731577900082,0.0004454590368114548957646888661456967
580,0.0001440538437910636716631512022762694,0.0004416997618542220691426456531240547
585,0.0001445517712843687185792629556311585,0.0004379913062544860511046550407066018
590,0.0001450440350063550212015055357692091,0.0004343326703743058857472315574122307
595,0.0001455307184991778962598905056990672,0.0004307228818575849663119795836288594
600,0.0001460119037939681355681750139185323,0.0004271609946396880758232015854104984
605,0.0001464876714438902614903422701700662,0.0004236460880023832016375927505962732
610,0.0001469581005563334300830568296754801,0.0004201772656716204670849544189388793
615,0.0001474232688242620580529819383874492,0.0004167536549558068497195093921249880
620,0.0001478832525567524034809022469477265,0.0004133744059223936864344125661119054
625,0.0001483381267087349066974307856573590,0.0004100386906107427077515858294177066
630,0.0001487879649099745921131085360848983,0.0004067457022793470471909259482651832
635,0.0001492328394933058492384861597189585,0.0004034946546855941403715004334067421
640,0.0001496728215221474965038859043500861,0.0004002847813963953572134431269093070
645,0.0001501079808173191038861921479997669,0.0003971153351280723529838455109136747
650,0.0001505383859831803962379758795850593,0.0003939855871140332181355836906523680
655,0.0001509641044331087336477811860413201,0.0003908948264987957718267823086918734
660,0.0001513852024143451944209344717622015,0.0003878423597570574422250390763002814
665,0.0001518017450322143084646366362198915,0.0003848275101365694099768294551307352
670,0.0001522137962737471832013666430602662,0.0003818496171236180060842641848444187
675,0.0001526214190307197327438902587435462,0.0003789080359300218066138973088587423
680,0.0001530246751221225725225964967189331,0.0003760021370005987640617168049435044
685,0.0001534236253160837625208039040798096,0.0003731313055401147692519202852648490
690,0.0001538183293512547227405536241891933,0.0003702949410587828386210732397501895
695,0.0001542088459576780092578297700381709,0.0003674924569354367221771014106462708
700,0.0001545952328771508809755320287307379,0.0003647232799975466534685492848007774
705,0.0001549775468830997224273762736335396,0.0003619868501172963183601718831495009
710,0.0001553558437999768887022347076444172,0.0003592826198229724022211637880060880
715,0.0001557301785221975824849104099644852,0.0003566100539249695851195002896930738
720,0.0001561006050326233605978567212215585,0.0003539686291557473254899823546968520
725,0.0001564671764206134158208900314915293,0.0003513578338231000930062255621909813
730,0.0001568299448996474967043204044476874,0.0003487771674761624294899345051401473
735,0.0001571889618245367474115018349610179,0.0003462261405835577920780234946763134
740,0.0001575442777082335105162485917150210,0.0003437042742231817008937663845205168
745,0.0001578959422382505961426479722914306,0.0003412110997830948160559855530443590
750,0.0001582440042926992188744708189558658,0.0003387461586730451576688799352927962
755,0.0001585885119559604447243689243943904,0.0003363090020461693132591177581040560
760,0.0001589295125339916802724620415605257,0.0003338991905304298562435333823950575
765,0.0001592670525692905166564142939602828,0.0003315162939693784719748072903407308
770,0.0001596011778555119308823441769039100,0.0003291598911718521851413037551856332
775,0.0001599319334517565034454755616405676,0.0003268295696702333838271177262244319
780,0.0001602593636965379591056662914897777,0.0003245249254869096841253593373622556
785,0.0001605835122214337141004328460546436,0.0003222455629086018568652266252078422
790,0.0001609044219644317272192816314209580,0.0003199910942682428766702684595547007
795,0.0001612221351829790365227330767700346,0.0003177611397340863782904043490988448
800,0.0001615366934667400336977411065115493,0.0003155553271057758570711067914438140
805,0.0001618481377500746585404319875739081,0.0003133732916170695091791344459980428
810,0.0001621565083242392019267764741898880,0.0003112146757449819294808831107053457
815,0.0001624618448493195388122020967279231,0.0003090791290250753003295587352105238
820,0.0001627641863659064170591286283491835,0.0003069663078726552488636749974674055
825,0.0001630635713065124535382235003285559,0.0003048758754096625699029505443404663
830,0.0001633600375067442670635434768632080,0.0003028075012970163553647029220246613
835,0.0001636536222162322997576585268598940,0.0003007608615722122781143004349103274
840,0.0001639443621093256102127512658888618,0.0002987356384919818770923678455411618
845,0.0001642322932955564524476439707018734,0.0002967315203798057287271666862661612
850,0.0001645174513298832231722864769561413,0.0002947482014781101513477023647963683
855,0.0001647998712227125379697282276427493,0.0002927853818049719544175097688547860
860,0.0001650795874497125765394285259325158,0.0002908427670151559718677193944660402
865,0.0001653566339614154853797605637072165,0.0002889200682653376976380399213151563
870,0.0001656310441926190781473536085576876,0.0002870170020833514696018439439448902
875,0.0001659028510715936508227616169513997,0.0002851332902413111396484438999805909
880,0.0001661720870290914472152062334218581,0.0002832686596324852566842015320327875
885,0.0001664387840071737129888933296500884,0.0002814228421517671480664862483161898
890,0.0001667029734678520905835272538927364,0.0002795955745796271861399350089771272
895,0.0001669646864015505519961564680653824,0.0002777865984694216072578896061173619
900,0.0001672239533353961301608158323405277,0.0002759956600379375499490103226257858
905,0.0001674808043413357284773519396262910,0.0002742225100590630501324180578186668
910,0.0001677352690440908038492046800803476,0.0002724669037604719042344661022866632
915,0.0001679873766289465793556032106449341,0.0002707286007232228404255644445860681
920,0.0001682371558493854649171318190660745,0.0002690073647841707825472517927159587
925,0.0001684846350345646305662116976688243,0.0002673029639410956329494374829135568
930,0.0001687298420966438537957196950129015,0.0002656151702604521724478671741652131
935,0.0001689728045379646549559339844044657,0.0002639437597876655872253788016715672
940,0.0001692135494580870967049123216622125,0.0002622885124598695917240047414555487
945,0.0001694521035606855144072213244024818,0.0002606492120210225452641271051037730
950,0.0001696884931603067263684585579464647,0.0002590256459393148856839770268603375
955,0.0001699227441889947829963670190284990,0.0002574176053267907719237705790787333
960,0.0001701548822027841339704934856885985,0.0002558248848611213335631121528639180
965,0.0001703849323880663841056463323169553,0.0002542472827094469566918219889098853
970,0.0001706129195678299162285922422511857,0.0002526846004542373090474051419062094
975,0.0001708388682077784534585170077678131,0.0002511366430210868347547948933100017
980,0.0001710628024223306508390851817987603,0.0002496032186084024046624931964364263
985,0.0001712847459805030528146167174922899,0.0002480841386189082781099969722404950
990,0.0001715047223116775778488016111322667,0.0002465792175929206273765682126912994
995,0.0001717227545112591638546881382954309,0.0002450882731433319084453477887999639
1000,0.0001719388653462245054881918820623035,0.0002436111258922556789548753669473962
1005,0.0001721530772605618518648575989858134,0.0002421475994092743501527796989674537
1010,0.0001723654123806102833811031769348301,0.0002406975201512472382235289739744280
1015,0.0001725758925202940994767791700409169,0.0002392607174036294553257734216920980
1020,0.0001727845391862591384504391977958330,0.0002378370232232539266258127922106064
1025,0.0001729913735829114077763051021861320,0.0002364262723825301069295402730234921
1030,0.0001731964166173604173551633742639976,0.0002350283023150265266470815392088273
1035,0.0001733996889042689674298361290666512,0.0002336429530623849177355092118874772
1040,0.0001736012107706121948455014708426154,0.0002322700672225349364115676060799169
1045,0.0001738010022603474842029282309144488,0.0002309094898991625859016296090434017
